index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_recall,validation_age_min_fpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
191,a99dae7c15e2d3485a6beefcbac68881,d3eedc29b42ca52539dbc67fe0a2e2e7,0.62768,3705782dd3395b19d76b008b772698f0,d255529a81a5f393578614e42fa8615a,lightgbm.LGBMClassifier,"{'max_depth': 65, 'num_leaves': 149, 'n_estimators': 4053, 'boosting_type': 'goss', 'learning_rate': 0.1260922799126345, 'min_child_samples': 88}",19,Hyperband,2.0,2.0,1.0,100.0,0.65013,0.60522,{'alpha': 0.5},validation,fpr = 5,0.65013,0.60522,0.5,1.0,FB (alpha=0.5),0.66324,0.65676,AOF,recall,age_min_fpr_disparity
191,a99dae7c15e2d3485a6beefcbac68881,d4c8721c072bdeabea3bd979705191e0,0.69705,fada241bda64d6bf5ee0cd0542d1943c,024f11a1ae06acd8902cfc91ebd1e07f,lightgbm.LGBMClassifier,"{'max_depth': 23, 'num_leaves': 17, 'n_estimators': 1100, 'boosting_type': 'dart', 'learning_rate': 0.03148724664972855, 'min_child_samples': 21}",9,Hyperband,2.0,2.0,1.0,100.0,0.69705,0.43618,{'alpha': 1},validation,fpr = 5,0.69705,0.43618,1,1.0,HB,0.70566,0.48018,AOF,recall,age_min_fpr_disparity
206,a99dae7c15e2d3485a6beefcbac68881,d806c8918142c0a33d9c99cddc853c83,0.58958,aadb96e1d21455481f1f870d84dbe0aa,00ad58aee43138ac3012c8039ef807b1,lightgbm.LGBMClassifier,"{'max_depth': 5, 'num_leaves': 101, 'n_estimators': 298, 'boosting_type': 'gbdt', 'learning_rate': 0.45643326789863886, 'min_child_samples': 15}",19,Hyperband,0.0,0.0,5.0,100.0,0.46515,0.9988,{'alpha': 'dynamic'},validation,fpr = 5,0.46515,0.9988,dynamic,1.0,FB,0.51542,0.89387,AOF,recall,age_min_fpr_disparity
22,a99dae7c15e2d3485a6beefcbac68881,d85be556602020dca2c35be4a773f2bb,0.67694,f0d5bdcc8b1d0f4d4d02c6961b5ac5d3,6c5d5a8875eb2af55e09a872cf0e06dd,lightgbm.LGBMClassifier,"{'max_depth': 15, 'num_leaves': 11, 'n_estimators': 102, 'boosting_type': 'dart', 'learning_rate': 0.35840484937739653, 'min_child_samples': 37}",4,RandomSearch,,,,100.0,0.67694,0.47725,{'alpha': 1},validation,fpr = 5,0.67694,0.47725,1,,RS,0.67224,0.46436,AOF,recall,age_min_fpr_disparity
191,a99dae7c15e2d3485a6beefcbac68881,db0b1a74ab324bd82ec984ac229242fb,0.67694,a2ba1b97f9c414cd66fd2970bd68a68c,b313773c2700edd52bc421ff0b33ec8d,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 25, 'max_features': 'log2', 'n_estimators': 445, 'min_samples_leaf': 1, 'min_samples_split': 62}",4,Hyperband,2.0,2.0,1.0,100.0,0.67694,0.25545,{'alpha': 1},validation,fpr = 5,0.67694,0.25545,1,1.0,HB,0.67609,0.28446,AOF,recall,age_min_fpr_disparity
200,a99dae7c15e2d3485a6beefcbac68881,db0d6846e8621280d176f4c482ef1a5c,0.60445,3d91b6f8c2b9228d90f9056f5d461fbe,68f7c734ac17440c03ee2c930327b91b,lightgbm.LGBMClassifier,"{'max_depth': 28, 'num_leaves': 4, 'n_estimators': 2370, 'boosting_type': 'gbdt', 'learning_rate': 0.03397200214564691, 'min_child_samples': 9}",9,Hyperband,1.0,1.0,2.0,100.0,0.66488,0.5559,{'alpha': 'dynamic'},validation,fpr = 5,0.66488,0.5559,dynamic,1.0,FB,0.6928,0.60887,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,dd054b5f82625dda34634373116b6ca6,0.68097,aed16a14862bcf93c799d047b3a841ba,81a6267b6098064e758a4e0b90210947,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 42, 'max_features': 'log2', 'n_estimators': 143, 'min_samples_leaf': 16, 'min_samples_split': 47}",19,Hyperband,3.0,3.0,1.0,100.0,0.68097,0.27217,{'alpha': 1},validation,fpr = 5,0.68097,0.27217,1,1.0,HB,0.65681,0.28352,AOF,recall,age_min_fpr_disparity
16,a99dae7c15e2d3485a6beefcbac68881,e65586b2c9171e8649682bb661b89c5e,0.67292,97c2bfaeae0861706fda1ef8086ebb28,7c225aa48f5667f95bb6cad7a48ee5a0,lightgbm.LGBMClassifier,"{'max_depth': 21, 'num_leaves': 93, 'n_estimators': 2899, 'boosting_type': 'gbdt', 'learning_rate': 0.09243223674247077, 'min_child_samples': 4}",4,RandomSearch,,,,100.0,0.67292,0.49522,{'alpha': 1},validation,fpr = 5,0.67292,0.49522,1,,RS,0.68509,0.56102,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,ec4495079281aeeda2a0d30f1a194e0c,0.68633,a12aab06b70b321962c583a28df772b1,ce02ea3bc31da0f995af84e0fc1d49b1,lightgbm.LGBMClassifier,"{'max_depth': 29, 'num_leaves': 6, 'n_estimators': 2493, 'boosting_type': 'dart', 'learning_rate': 0.018634672230835782, 'min_child_samples': 34}",19,Hyperband,3.0,3.0,1.0,100.0,0.68633,0.35364,{'alpha': 1},validation,fpr = 5,0.68633,0.35364,1,1.0,HB,0.70308,0.39379,AOF,recall,age_min_fpr_disparity
9,a99dae7c15e2d3485a6beefcbac68881,ef96d2fa592e2bd976327c26cfa19256,0.67962,e2858e5058fe182dd9889ecd3c6e1075,79006337f87a1402cb8a0a9792368863,lightgbm.LGBMClassifier,"{'max_depth': 45, 'num_leaves': 118, 'n_estimators': 3133, 'boosting_type': 'dart', 'learning_rate': 0.06327682959124407, 'min_child_samples': 28}",9,RandomSearch,,,,100.0,0.67962,0.52656,{'alpha': 1},validation,fpr = 5,0.67962,0.52656,1,,RS,0.70051,0.55941,AOF,recall,age_min_fpr_disparity
6,a99dae7c15e2d3485a6beefcbac68881,f0c0cd500084007df461d723584f2fa7,0.71462,675d4227bc9aff2d40a56792e32f6ec4,654aedbcefcc11ff7f2611f26dd53ae9,lightgbm.LGBMClassifier,"{'max_depth': 75, 'num_leaves': 18, 'n_estimators': 237, 'boosting_type': 'goss', 'learning_rate': 0.6475461795689522, 'min_child_samples': 45}",19,RandomSearch,,,,100.0,0.45174,0.97749,{'alpha': 0.5},validation,fpr = 5,0.45174,0.97749,0.5,,RS (alpha=0.5),0.44859,0.96187,AOF,recall,age_min_fpr_disparity
4,a99dae7c15e2d3485a6beefcbac68881,f5eaef09369d9c5805241baa5cde864e,0.68767,0eb103cec5287f3446955469546264cf,b9b4b81475de8c97d7da562231ad355c,lightgbm.LGBMClassifier,"{'max_depth': 33, 'num_leaves': 85, 'n_estimators': 1169, 'boosting_type': 'gbdt', 'learning_rate': 0.012155555673284557, 'min_child_samples': 37}",9,RandomSearch,,,,100.0,0.68767,0.52744,{'alpha': 1},validation,fpr = 5,0.68767,0.52744,1,,RS,0.69537,0.54275,AOF,recall,age_min_fpr_disparity
4,a99dae7c15e2d3485a6beefcbac68881,f63e4218bdcaf1b85cf13b205c84f05c,0.67158,536ec89d6a24a5ae1ba0f5fc1bb5f44f,3c23ef01713b6813b57d9dc2b4e12655,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'n_estimators': 177, 'min_samples_leaf': 2, 'min_samples_split': 7}",9,RandomSearch,,,,100.0,0.67158,0.30777,{'alpha': 1},validation,fpr = 5,0.67158,0.30777,1,,RS,0.6491,0.32481,AOF,recall,age_min_fpr_disparity
195,a99dae7c15e2d3485a6beefcbac68881,f83b446778306a56776b488d0f96a9c1,0.62046,9ba4c117eecb1505a26c091cdcac4959,986c1f83d46c8be302b0cea2087c3325,lightgbm.LGBMClassifier,"{'max_depth': 71, 'num_leaves': 88, 'n_estimators': 3260, 'boosting_type': 'goss', 'learning_rate': 0.06401902119099166, 'min_child_samples': 134}",19,Hyperband,1.0,0.0,8.0,33.333,0.60188,0.63904,{'alpha': 0.5},validation,fpr = 5,0.60188,0.63904,0.5,0.3333,FB (alpha=0.5),0.5964,0.67583,AOF,recall,age_min_fpr_disparity
168,a99dae7c15e2d3485a6beefcbac68881,fd0fc691a5e7b395e04ceb46fb37d0bb,0.61718,6088ad38a74a83d70a71671f3c3900db,b983b7e221d4969ee7db75afe2359c52,lightgbm.LGBMClassifier,"{'max_depth': 77, 'num_leaves': 39, 'n_estimators': 1493, 'boosting_type': 'dart', 'learning_rate': 0.12943228782160504, 'min_child_samples': 6}",9,Hyperband,3.0,2.0,3.0,33.333,0.64209,0.59227,{'alpha': 0.5},validation,fpr = 5,0.64209,0.59227,0.5,0.3333,FB (alpha=0.5),0.61954,0.66406,AOF,recall,age_min_fpr_disparity
