index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_recall,validation_age_min_fpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
167,a99dae7c15e2d3485a6beefcbac68881,59d4ee864fcd3b3b42f1432194ab651b,0.6043,97920c1d9c4fd48b4e5bb4c9d3c3a967,5197d73f52fe6ff8cef9ce985e2d657b,lightgbm.LGBMClassifier,"{'max_depth': 3, 'num_leaves': 98, 'n_estimators': 1686, 'boosting_type': 'goss', 'learning_rate': 0.10790523766432873, 'min_child_samples': 68}",19,Hyperband,3.0,2.0,3.0,33.333,0.57239,0.6362,{'alpha': 0.5},validation,fpr = 5,0.57239,0.6362,0.5,0.3333,FB (alpha=0.5),0.59512,0.74446,AOF,recall,age_min_fpr_disparity
10,a99dae7c15e2d3485a6beefcbac68881,5a12839cb7a3d1d659788e9370751ca7,0.61439,0566b1d7f1c04a7f7011e35b45566d3a,aedb28ca36de3a6575bde9f2e296a659,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 43, 'min_samples_leaf': 38, 'min_samples_split': 29}",9,RandomSearch,,,,100.0,0.49464,0.73414,{'alpha': 0.5},validation,fpr = 5,0.49464,0.73414,0.5,,RS (alpha=0.5),0.47815,0.69045,AOF,recall,age_min_fpr_disparity
15,a99dae7c15e2d3485a6beefcbac68881,5d53737f2b387eb1a2b22eca2e0ddd85,0.61409,0a5acff225230c872281063a1a45204b,a598d23963ac305ff7d4497e004e4568,sklearn.linear_model.LogisticRegression,"{'C': 1, 'tol': 0.009452689991849065, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 783}",19,Hyperband,4.0,0.0,81.0,1.235,0.23056,0.99761,{'alpha': 0.5},validation,fpr = 5,0.23056,0.99761,0.5,0.0123,FB (alpha=0.5),0.2892,0.98521,AOF,recall,age_min_fpr_disparity
104,a99dae7c15e2d3485a6beefcbac68881,5fc31c82440d85760f8cbf59015a3909,0.66864,e360247061d6ca04a89df6169f73b267,2d6ee2332ee7bea62d1267fd8c8cf69c,lightgbm.LGBMClassifier,"{'max_depth': 94, 'num_leaves': 3, 'n_estimators': 1431, 'boosting_type': 'gbdt', 'learning_rate': 0.11538719329026904, 'min_child_samples': 10}",4,Hyperband,4.0,1.0,27.0,3.704,0.41421,0.92306,{'alpha': 0.5},validation,fpr = 5,0.41421,0.92306,0.5,0.037,FB (alpha=0.5),0.44344,0.98171,AOF,recall,age_min_fpr_disparity
2,a99dae7c15e2d3485a6beefcbac68881,61fee4be129a221ec7a82527dfd47265,0.6689,009e3b470617ca091453395d176e0b10,e29d2b32096d5983b75d5cbd9d4530df,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 16, 'max_features': 'log2', 'n_estimators': 145, 'min_samples_leaf': 5, 'min_samples_split': 42}",4,RandomSearch,,,,100.0,0.6689,0.23966,{'alpha': 1},validation,fpr = 5,0.6689,0.23966,1,,RS,0.67095,0.26674,AOF,recall,age_min_fpr_disparity
188,a99dae7c15e2d3485a6beefcbac68881,630d22d05aa4f48404352baaf08c8630,0.61806,9018c5c7fc3c66e85db3b4f6c19e2bc6,b7a05a56070f4dd7b0f5d79becf860b7,lightgbm.LGBMClassifier,"{'max_depth': 46, 'num_leaves': 62, 'n_estimators': 2427, 'boosting_type': 'dart', 'learning_rate': 0.14354011699249863, 'min_child_samples': 35}",9,Hyperband,2.0,1.0,5.0,33.333,0.65147,0.5886,{'alpha': 'dynamic'},validation,fpr = 5,0.65147,0.5886,dynamic,0.3333,FB,0.63496,0.64213,AOF,recall,age_min_fpr_disparity
23,a99dae7c15e2d3485a6beefcbac68881,67ac62040f57f1705842c6373d1aa61e,0.62329,9b52560d650b413b676b06c0ba008e4b,654215af4faed25a66a24543380be900,lightgbm.LGBMClassifier,"{'max_depth': 43, 'num_leaves': 13, 'n_estimators': 1714, 'boosting_type': 'goss', 'learning_rate': 0.08928666857503097, 'min_child_samples': 8}",19,RandomSearch,,,,100.0,0.62735,0.61922,{'alpha': 0.5},validation,fpr = 5,0.62735,0.61922,0.5,,RS (alpha=0.5),0.66452,0.70691,AOF,recall,age_min_fpr_disparity
121,a99dae7c15e2d3485a6beefcbac68881,7264b878c591ed60891cbfc919054736,0.61253,4ff5176146b4dbbd4a71333373be33bd,3b6117559a4911d3f512386c2e200f16,lightgbm.LGBMClassifier,"{'max_depth': 79, 'num_leaves': 71, 'n_estimators': 690, 'boosting_type': 'gbdt', 'learning_rate': 0.1613750087752184, 'min_child_samples': 39}",9,Hyperband,4.0,4.0,1.0,100.0,0.67292,0.564,{'alpha': 'dynamic'},validation,fpr = 5,0.67292,0.564,dynamic,1.0,FB,0.68509,0.62672,AOF,recall,age_min_fpr_disparity
17,a99dae7c15e2d3485a6beefcbac68881,72a462cbca8b73c7d74eb27274a2b7e4,0.68633,2e1b6104bb7726856be186c6e44540da,325d3556481c1b5e80693b69aa3431a2,lightgbm.LGBMClassifier,"{'max_depth': 42, 'num_leaves': 251, 'n_estimators': 3290, 'boosting_type': 'gbdt', 'learning_rate': 0.034368413249755786, 'min_child_samples': 12}",9,RandomSearch,,,,100.0,0.68633,0.52216,{'alpha': 1},validation,fpr = 5,0.68633,0.52216,1,,RS,0.70308,0.57066,AOF,recall,age_min_fpr_disparity
2,a99dae7c15e2d3485a6beefcbac68881,7abaeea4407036aa6431ddc34fc022ef,0.67024,0a2eaf696e21ca53ef235bda39f97986,71e525a98471a8ae55403219e1493db6,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'n_estimators': 259, 'min_samples_leaf': 45, 'min_samples_split': 131}",19,RandomSearch,,,,100.0,0.67024,0.24037,{'alpha': 1},validation,fpr = 5,0.67024,0.24037,1,,RS,0.65296,0.25857,AOF,recall,age_min_fpr_disparity
200,a99dae7c15e2d3485a6beefcbac68881,7eafc6ace6f73523f90288a1ff8e4023,0.64035,3e0ad0ebf5c7c8265238dd15438467c9,224e86cbe177a80d5f26afe65bea5a61,lightgbm.LGBMClassifier,"{'max_depth': 2, 'num_leaves': 66, 'n_estimators': 13258, 'boosting_type': 'gbdt', 'learning_rate': 0.05711374362756748, 'min_child_samples': 18}",4,Hyperband,1.0,1.0,2.0,100.0,0.55362,0.72708,{'alpha': 0.5},validation,fpr = 5,0.55362,0.72708,0.5,1.0,FB (alpha=0.5),0.56684,0.84296,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,7ef0cd0cbba7c7192b0306309f71c0e9,0.6756,29cf52bcacde4ca4cb3a1f862a908a5d,0cef386cd2f11de070d1add52c799560,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 'sqrt', 'n_estimators': 559, 'min_samples_leaf': 16, 'min_samples_split': 13}",19,Hyperband,3.0,3.0,1.0,100.0,0.6756,0.27657,{'alpha': 1},validation,fpr = 5,0.6756,0.27657,1,1.0,HB,0.67481,0.30449,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,84860d5f78dfa50a2690283122b30a30,0.63569,8a20b8136dadc007c7c9d76c40efc313,6cfbfdb5461bc33aabdd564470640f7a,lightgbm.LGBMClassifier,"{'max_depth': 95, 'num_leaves': 50, 'n_estimators': 2782, 'boosting_type': 'gbdt', 'learning_rate': 0.13719087694369383, 'min_child_samples': 92}",19,Hyperband,3.0,3.0,1.0,100.0,0.65013,0.62204,{'alpha': 'dynamic'},validation,fpr = 5,0.65013,0.62204,dynamic,1.0,FB,0.66067,0.78962,AOF,recall,age_min_fpr_disparity
1,a99dae7c15e2d3485a6beefcbac68881,864afb78e2d7cc5e8ddf502a6203cbbc,0.64792,d73e45f7ad17a0b2647f15f74d61cee0,7e3bfcdc009db2f8637bdc7cca1d3d0d,lightgbm.LGBMClassifier,"{'max_depth': 39, 'num_leaves': 55, 'n_estimators': 3260, 'boosting_type': 'goss', 'learning_rate': 0.012690683593182504, 'min_child_samples': 206}",9,RandomSearch,,,,100.0,0.65013,0.64571,{'alpha': 0.5},validation,fpr = 5,0.65013,0.64571,0.5,,RS (alpha=0.5),0.6838,0.69509,AOF,recall,age_min_fpr_disparity
9,a99dae7c15e2d3485a6beefcbac68881,873e8e5fac3c665a35310d9f73ad69a7,0.64267,8ea4536bc5e8c4b3cca332104a05b3a2,e99be43146568a1f814fb57d726ded29,lightgbm.LGBMClassifier,"{'max_depth': 41, 'num_leaves': 128, 'n_estimators': 3178, 'boosting_type': 'goss', 'learning_rate': 0.34586717743168527, 'min_child_samples': 96}",19,RandomSearch,,,,100.0,0.64343,0.6419,{'alpha': 0.5},validation,fpr = 5,0.64343,0.6419,0.5,,RS (alpha=0.5),0.6671,0.71833,AOF,recall,age_min_fpr_disparity
118,a99dae7c15e2d3485a6beefcbac68881,88c044faec6df6dcf91a045285da6484,0.64998,0f7d3168f42c45bdec50dba86efaf4fe,703387797da327b0f97517f5304570e7,lightgbm.LGBMClassifier,"{'max_depth': 40, 'num_leaves': 6, 'n_estimators': 3970, 'boosting_type': 'goss', 'learning_rate': 0.5284244222478869, 'min_child_samples': 31}",9,Hyperband,4.0,3.0,3.0,33.333,0.56166,0.7908,{'alpha': 'dynamic'},validation,fpr = 5,0.56166,0.7908,dynamic,0.3333,FB,0.56298,0.85493,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,8d1db85d243e31b10cbe1fbc1ff81a21,0.67828,aa37026bd624c3e48c89a0253d8ee20c,4c1f584e81753020cc2dd447e69a401f,lightgbm.LGBMClassifier,"{'max_depth': 4, 'num_leaves': 203, 'n_estimators': 1728, 'boosting_type': 'dart', 'learning_rate': 0.020488497177499676, 'min_child_samples': 9}",4,Hyperband,3.0,3.0,1.0,100.0,0.67828,0.3428,{'alpha': 1},validation,fpr = 5,0.67828,0.3428,1,1.0,HB,0.67481,0.36874,AOF,recall,age_min_fpr_disparity
121,a99dae7c15e2d3485a6beefcbac68881,8f412b0cc26bd090d944bf760ca9f6a9,0.67694,4be460137d4da4413fc8176288c030d9,85156e0af10daf520d25129ae5901026,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 26, 'max_features': 'sqrt', 'n_estimators': 126, 'min_samples_leaf': 3, 'min_samples_split': 4}",19,Hyperband,4.0,4.0,1.0,100.0,0.67694,0.32288,{'alpha': 1},validation,fpr = 5,0.67694,0.32288,1,1.0,HB,0.68123,0.34497,AOF,recall,age_min_fpr_disparity
167,a99dae7c15e2d3485a6beefcbac68881,998214d2c1352c9e041b589f38d970d8,0.66354,4133b30f6b891819e5af6b1fe486b499,ef54cfb8b2410138b0d75be15f5fd3ff,lightgbm.LGBMClassifier,"{'max_depth': 2, 'num_leaves': 9, 'n_estimators': 136, 'boosting_type': 'goss', 'learning_rate': 0.05950126457563735, 'min_child_samples': 7}",19,Hyperband,3.0,2.0,3.0,33.333,0.66354,0.25762,{'alpha': 1},validation,fpr = 5,0.66354,0.25762,1,0.3333,HB,0.66067,0.30489,AOF,recall,age_min_fpr_disparity
191,a99dae7c15e2d3485a6beefcbac68881,9aa4230bc3c43e0d0177521c9751533f,0.68901,cd6f5b5711967143036794e93d267eda,f850b4fe7b52cab714018715a4550b4f,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 170, 'min_samples_leaf': 2, 'min_samples_split': 25}",19,Hyperband,2.0,2.0,1.0,100.0,0.68901,0.29953,{'alpha': 1},validation,fpr = 5,0.68901,0.29953,1,1.0,HB,0.69537,0.31463,AOF,recall,age_min_fpr_disparity
7,a99dae7c15e2d3485a6beefcbac68881,a31bf80789d9b03a26b5e0efa49b2577,0.56888,faa3f3df1b54634f1bb5b93d90e47fcc,f335f9d5e2c8a87da87308dca6f4b267,lightgbm.LGBMClassifier,"{'max_depth': 82, 'num_leaves': 195, 'n_estimators': 10598, 'boosting_type': 'gbdt', 'learning_rate': 0.24979175240119852, 'min_child_samples': 6}",4,RandomSearch,,,,100.0,0.6622,0.47555,{'alpha': 0.5},validation,fpr = 5,0.6622,0.47555,0.5,,RS (alpha=0.5),0.68895,0.49445,AOF,recall,age_min_fpr_disparity
20,a99dae7c15e2d3485a6beefcbac68881,a674168f1395ff2c10966e166fc0785d,0.57512,256d2558e8b65f39f136f3dcfd6b4bea,bf0d26954e11f4d62944cf87a25162df,lightgbm.LGBMClassifier,"{'max_depth': 67, 'num_leaves': 268, 'n_estimators': 5115, 'boosting_type': 'gbdt', 'learning_rate': 0.9395955173489507, 'min_child_samples': 18}",4,RandomSearch,,,,100.0,0.61662,0.53362,{'alpha': 0.5},validation,fpr = 5,0.61662,0.53362,0.5,,RS (alpha=0.5),0.6491,0.58185,AOF,recall,age_min_fpr_disparity
24,a99dae7c15e2d3485a6beefcbac68881,a7a7f3842100ccfa1ac96415655875fc,0.58614,0c6920e4ee1234158c17d4484977ec04,b9e8843148c2d5dd161c48e3319c39b5,lightgbm.LGBMClassifier,"{'max_depth': 80, 'num_leaves': 67, 'n_estimators': 3378, 'boosting_type': 'dart', 'learning_rate': 0.045828415802410226, 'min_child_samples': 7}",19,RandomSearch,,,,100.0,0.66756,0.50472,{'alpha': 0.5},validation,fpr = 5,0.66756,0.50472,0.5,,RS (alpha=0.5),0.67609,0.55132,AOF,recall,age_min_fpr_disparity
121,a99dae7c15e2d3485a6beefcbac68881,a99bebd89714bb5161b0fcbbe699d948,0.68231,5dfd27b2431c8e2f79cdfe55a1735841,cefe94f12f0c954b79eebe3bbc26358b,lightgbm.LGBMClassifier,"{'max_depth': 55, 'num_leaves': 10, 'n_estimators': 1784, 'boosting_type': 'dart', 'learning_rate': 0.012957347947666927, 'min_child_samples': 2}",9,Hyperband,4.0,4.0,1.0,100.0,0.68231,0.35753,{'alpha': 1},validation,fpr = 5,0.68231,0.35753,1,1.0,HB,0.68509,0.3871,AOF,recall,age_min_fpr_disparity
3,a99dae7c15e2d3485a6beefcbac68881,aa43eab27477769c38928a81cea04aff,0.67694,1c8a4a8e656213083462cfe8944f1591,40ee31bf57a55e39aebb141ede167561,lightgbm.LGBMClassifier,"{'max_depth': 61, 'num_leaves': 344, 'n_estimators': 1123, 'boosting_type': 'gbdt', 'learning_rate': 0.015952419372634415, 'min_child_samples': 6}",9,RandomSearch,,,,100.0,0.67694,0.473,{'alpha': 1},validation,fpr = 5,0.67694,0.473,1,,RS,0.68509,0.49324,AOF,recall,age_min_fpr_disparity
121,a99dae7c15e2d3485a6beefcbac68881,aa469fa16a19563aeb347a59fdef58e5,0.63104,5afaa501ad6aa4951d98a41cad15db5e,b5634528c837dde6a5f0d48b96ac43ea,lightgbm.LGBMClassifier,"{'max_depth': 24, 'num_leaves': 6, 'n_estimators': 171, 'boosting_type': 'dart', 'learning_rate': 0.7789781542115417, 'min_child_samples': 5}",4,Hyperband,4.0,4.0,1.0,100.0,0.50938,0.92762,{'alpha': 'dynamic'},validation,fpr = 5,0.50938,0.92762,dynamic,1.0,FB,0.61311,0.90823,AOF,recall,age_min_fpr_disparity
191,a99dae7c15e2d3485a6beefcbac68881,b0c5d88743f38c1d4c1f1bcfdea4eff3,0.69571,d9b09e6009eecbfc663e93296297cdcb,9bb5637b36b7f8dcd95a9d48296f2643,lightgbm.LGBMClassifier,"{'max_depth': 12, 'num_leaves': 54, 'n_estimators': 320, 'boosting_type': 'dart', 'learning_rate': 0.07681436741888889, 'min_child_samples': 44}",9,Hyperband,2.0,2.0,1.0,100.0,0.69571,0.46792,{'alpha': 1},validation,fpr = 5,0.69571,0.46792,1,1.0,HB,0.69923,0.50649,AOF,recall,age_min_fpr_disparity
186,a99dae7c15e2d3485a6beefcbac68881,b496601bfee2127d1bc7da4a7c6032b9,0.63576,dd9add6b48e0645e209cdb12d3ab6c4f,13edf2ec2cba19551629e1f7d1beb9c1,lightgbm.LGBMClassifier,"{'max_depth': 6, 'num_leaves': 95, 'n_estimators': 7664, 'boosting_type': 'goss', 'learning_rate': 0.04412768140925045, 'min_child_samples': 79}",19,Hyperband,2.0,1.0,5.0,33.333,0.58713,0.68438,{'alpha': 0.5},validation,fpr = 5,0.58713,0.68438,0.5,0.3333,FB (alpha=0.5),0.59126,0.7929,AOF,recall,age_min_fpr_disparity
186,a99dae7c15e2d3485a6beefcbac68881,b4c3ee363d0b38f1c85cc94ee58994c4,0.65166,7b3f5c1344def76164a611871c1d2631,731608bf171fc3a9fe3031ec54615b00,lightgbm.LGBMClassifier,"{'max_depth': 65, 'num_leaves': 5, 'n_estimators': 366, 'boosting_type': 'goss', 'learning_rate': 0.12654659066540475, 'min_child_samples': 24}",19,Hyperband,2.0,1.0,5.0,33.333,0.62869,0.67462,{'alpha': 0.5},validation,fpr = 5,0.62869,0.67462,0.5,0.3333,FB (alpha=0.5),0.63882,0.7941,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,b7346723a1c9b8fef08ecfdf1fc47e4b,0.61148,16e25e2cbd2eead9fc1ddfb17f197022,f11a8739342697b980a784fd6dae7120,lightgbm.LGBMClassifier,"{'max_depth': 23, 'num_leaves': 268, 'n_estimators': 763, 'boosting_type': 'dart', 'learning_rate': 0.4056985059062823, 'min_child_samples': 19}",19,Hyperband,3.0,3.0,1.0,100.0,0.67024,0.564,{'alpha': 'dynamic'},validation,fpr = 5,0.67024,0.564,dynamic,1.0,FB,0.67224,0.57409,AOF,recall,age_min_fpr_disparity
