dataset,task_type,alpha,performance_val,fairness_val,performance_test,fairness_test,model_classpath,hyperparameters,class_ratio,model_config_uuid,model_uuid,si,i,ni,ri,target_threshold,tuner
Adult,Hyperband,1,0.99477,0.54618,0.99155,0.56072,lightgbm.LGBMClassifier,"{'max_depth': 30, 'num_leaves': 5, 'n_estimators': 2221, 'boosting_type': 'goss', 'learning_rate': 0.046551625519031206, 'min_child_samples': 41}",,c06d7b56e9cbf40084d79d67c719d3b5,6a30488885d41b08d71b91bc007cd61e,1.0,1.0,2.0,100.0,tpr = 50,HB
Adult,Hyperband,dynamic,0.89695,0.9592,0.8964,0.9907,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.000614612758675676, 'model__dropout': 0.3552414367070764, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,bf060e2eff31f20497a3253672295a78,42d1fcdb8d0650100891726a828ab35b,4.0,0.0,81.0,1.235,tpr = 50,FB-auto
Adult,Hyperband,1,0.99477,0.53387,0.9929100000000001,0.54309,lightgbm.LGBMClassifier,"{'max_depth': 325, 'num_leaves': 20, 'n_estimators': 388, 'boosting_type': 'gbdt', 'learning_rate': 0.024431794219485867, 'min_child_samples': 7}",,2fd239a83ac5fcf18afbecf3b4743f16,8ff90d0ba6f409da5e18b2b86d3805ad,1.0,1.0,2.0,100.0,tpr = 50,HB
Adult,Hyperband,0.5,0.93424,0.9753200000000001,0.92576,0.93627,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005948294856366537, 'model__dropout': 0.0777316333787105, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,646b3688c8424da23ac4fd0435921331,90d4553ffeb43cf15a67078158a17f8a,3.0,0.0,34.0,3.7039999999999997,tpr = 50,FB
Adult,Hyperband,0.5,0.9529700000000001,0.8936700000000001,0.9500700000000001,0.83815,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.001082254049305727, 'model__dropout': 0.24538632687964013, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,5c05628b79892cf3d0a08ee497973e51,dfd69201b2209b7e388a7c3f646b4954,4.0,0.0,81.0,1.235,tpr = 50,FB
Adult,Hyperband,1,0.99397,0.5382399999999999,0.98949,0.536,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 16, 'max_features': 'sqrt', 'n_estimators': 66, 'min_samples_leaf': 2, 'min_samples_split': 45}",,9d224278106f6d2ccee58ca159e90a7c,c2254c63331e4fd8d9fafde97a7fc420,0.0,0.0,5.0,100.0,tpr = 50,HB
Adult,RandomSearch,1,0.99277,0.6178,0.99019,0.62778,lightgbm.LGBMClassifier,"{'max_depth': 41, 'num_leaves': 168, 'n_estimators': 1323, 'boosting_type': 'gbdt', 'learning_rate': 0.011351180408269546, 'min_child_samples': 63}",,bdd67861f5ab897be0aaa6fdcf33aa5b,cc9d9b63e244a76a116ee07ea5aab795,,,,100.0,tpr = 50,RS
Adult,RandomSearch,1,0.9931700000000001,0.54175,0.99011,0.55174,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 224, 'min_samples_leaf': 3, 'min_samples_split': 89}",,7c660411c241522488472b118c9c8406,76796e3ccf2cc23c976b49301c5f8ab1,,,,100.0,tpr = 50,RS
Adult,Hyperband,1,0.9931700000000001,0.52695,0.98979,0.53178,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 31, 'max_features': 'sqrt', 'n_estimators': 397, 'min_samples_leaf': 10, 'min_samples_split': 22}",,a2ddc491d3445699bd50acd0ed7b4c89,bd660edfdc491ed0a723c569943a2189,4.0,3.0,3.0,33.333,tpr = 50,HB
Adult,RandomSearch,0.5,0.95925,0.82534,0.9564600000000001,0.78425,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0025329426289173044, 'model__dropout': 0.35802734493093746, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,7e64c61c32425bc2db6120bc3bd146d2,406758a790fc94e10547f1c6232b190c,,,,100.0,tpr = 50,FairRS
Adult,RandomSearch,1,0.99277,0.52781,0.99154,0.53285,lightgbm.LGBMClassifier,"{'max_depth': 14, 'num_leaves': 6, 'n_estimators': 1226, 'boosting_type': 'goss', 'learning_rate': 0.0313414463576603, 'min_child_samples': 85}",,a41c96ad8c00868248246905f55a25c2,a11389029a65df530f2d14715da6cc84,,,,100.0,tpr = 50,RS
Adult,Hyperband,0.5,0.9227299999999999,0.9541,0.91704,0.88785,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0007219904680681159, 'model__dropout': 0.07582736891160034, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,4b848fc815f53dcc1b737a3776b1e337,2383b4c887b0da66a12a3a3973dafb28,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB
Adult,RandomSearch,1,0.9935700000000001,0.55513,0.99308,0.56604,lightgbm.LGBMClassifier,"{'max_depth': 118, 'num_leaves': 34, 'n_estimators': 648, 'boosting_type': 'dart', 'learning_rate': 0.0689264012987504, 'min_child_samples': 15}",,269e892747ed5a94dc9352c9c1a0f95f,e5a21595f713dfbd7d55f02d104193ae,,,,100.0,tpr = 50,RS
Adult,Hyperband,0.5,0.86798,0.98196,0.8676200000000001,0.9639700000000001,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000593349282344002, 'model__dropout': 0.03545298251467149, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0}",,66f05abb4a059d2807500a443d8818d3,ed30b644ca3e811bc65c8693f7eb3802,4.0,0.0,81.0,1.235,tpr = 50,FB
Adult,RandomSearch,0.5,0.96449,0.7044,0.9595100000000001,0.7324,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 2, 'min_samples_split': 4}",,0db9186ed976f5dcda254972409c6341,7e08c93a3c559983b28fd03bdc0ea11a,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,0.5,0.93885,0.9429,0.9334100000000001,0.88025,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0009755653719106299, 'model__dropout': 0.15620408197531815, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,990891aef102c40cb5435f20e732dedc,c8f5343743ad2a6848a518a97d40df2d,4.0,0.0,81.0,1.235,tpr = 50,FB
Adult,Hyperband,dynamic,0.93565,0.97416,0.9256,0.96796,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0008882933101096386, 'model__dropout': 0.034609695666153684, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,bc63f525a91c98a8ef1d22bfcc5a9f48,9e6f762ceb5155029415e3d4b3f77968,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB-auto
Adult,Hyperband,1,0.9943700000000001,0.54618,0.98998,0.54568,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'max_features': 'sqrt', 'n_estimators': 666, 'min_samples_leaf': 1, 'min_samples_split': 22}",,4328099882ef8db4ae10c4c8cfd75385,c5b008c232c04a7abc23356bf4096ab0,0.0,0.0,5.0,100.0,tpr = 50,HB
Adult,Hyperband,dynamic,0.95004,0.93953,0.9587399999999999,0.87511,lightgbm.LGBMClassifier,"{'max_depth': 12, 'num_leaves': 225, 'n_estimators': 136, 'boosting_type': 'goss', 'learning_rate': 0.42717020491816193, 'min_child_samples': 28}",,f083cea99b4e6c7a12c72cbd7a28caca,d0c950682a7bb7310733385f618d3ef4,4.0,0.0,81.0,1.235,tpr = 50,FB-auto
Adult,RandomSearch,1,0.9935700000000001,0.5633,0.99108,0.58097,lightgbm.LGBMClassifier,"{'max_depth': 95, 'num_leaves': 10, 'n_estimators': 3464, 'boosting_type': 'gbdt', 'learning_rate': 0.019498381951988542, 'min_child_samples': 15}",,dbf7eba4e13706b5c3da43e53c250e85,5e6bd229181bb5a2003585c50e858faa,,,,100.0,tpr = 50,RS
Adult,Hyperband,dynamic,0.8201700000000001,0.94279,0.82358,0.9866299999999999,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0010560649781841125, 'model__dropout': 0.36616058020535447, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,32eec32d5df9caa8b7fca65275265fc3,95807a83edd597dfe86b53280abd3082,3.0,0.0,34.0,3.7039999999999997,tpr = 50,FB-auto
Adult,Hyperband,dynamic,0.94279,0.89966,0.93966,0.8382299999999999,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0007945266239669601, 'model__dropout': 0.2999112226272281, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,bd61de41e4915e0a562633c030ceaa4f,2341e9dfb311c92a8aca66d3e005068b,3.0,0.0,34.0,3.7039999999999997,tpr = 50,FB-auto
Adult,Hyperband,0.5,0.89956,0.9803,0.89389,0.92448,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0010414205176275933, 'model__dropout': 0.10059077948275288, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,d65984282379cc07fe334ca165c4be2f,bbdf64751cb469a17349fc75be11602f,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB
