dataset,task_type,alpha,performance_val,fairness_val,performance_test,fairness_test,model_classpath,hyperparameters,class_ratio,model_config_uuid,model_uuid,si,i,ni,ri,target_threshold,tuner
Adult,Hyperband,dynamic,0.81557,0.9753200000000001,0.8144,0.96814,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0006774426123399691, 'model__dropout': 0.3656075252540473, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.001}",,a6010342e5081cecc8ea20f3e8c33bce,2858c3989ea71c70d68951176cd82718,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB-auto
Adult,RandomSearch,1,0.9935700000000001,0.57531,0.9920200000000001,0.59253,lightgbm.LGBMClassifier,"{'max_depth': 9, 'num_leaves': 18, 'n_estimators': 2789, 'boosting_type': 'gbdt', 'learning_rate': 0.020175527726409216, 'min_child_samples': 3}",,c956a11b47dda417e2050755482d88c5,ca954eec6d70009caf6b97213d1faeb8,,,,100.0,tpr = 50,RS
Adult,RandomSearch,1,0.9943700000000001,0.55153,0.99182,0.55809,lightgbm.LGBMClassifier,"{'max_depth': 114, 'num_leaves': 81, 'n_estimators': 382, 'boosting_type': 'gbdt', 'learning_rate': 0.012599476758767759, 'min_child_samples': 9}",,f1d557f5360668fc6b90ead04d7f7eb2,3a77b0e5806174dd3c40026730b57743,,,,100.0,tpr = 50,RS
Adult,Hyperband,1,0.9935700000000001,0.54087,0.99061,0.55157,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 189, 'min_samples_leaf': 24, 'min_samples_split': 16}",,4bc12cd923234aeabc59ad5423231802,cd33b52ff569cdcad121ac9fd6e8ca46,2.0,2.0,1.0,100.0,tpr = 50,HB
Adult,Hyperband,1,0.9935700000000001,0.52695,0.98965,0.53413,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 139, 'min_samples_leaf': 5, 'min_samples_split': 6}",,07b6e3e9412531fea10e58209dd9fa40,5e4997daecded1f8426d61ae33d11876,3.0,2.0,3.0,33.333,tpr = 50,HB
Adult,Hyperband,0.5,0.95888,0.8267,0.95689,0.78474,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0006188817809528849, 'model__dropout': 0.3102695786157803, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,1201fd5450c0b78e81f796f3c6fc56e9,311c888f0b2f7f16edda1f894457807a,2.0,0.0,15.0,11.110999999999999,tpr = 50,FB
Adult,RandomSearch,0.5,0.9648700000000001,0.85588,0.96326,0.8044899999999999,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.003395496574152775, 'model__dropout': 0.13301594057577862, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,ebab6dc21e9aac681ac8bd7807e9e80f,3419fabaf50517bd5342737a9646a9ba,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,1,0.9931700000000001,0.52695,0.98979,0.52937,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 'sqrt', 'n_estimators': 392, 'min_samples_leaf': 3, 'min_samples_split': 55}",,75effe31f5ae55fe5fa66ac247a81a1e,a17200a2c07cfe8f0bf74d9ae450a968,3.0,2.0,3.0,33.333,tpr = 50,HB
Adult,Hyperband,dynamic,0.93037,0.96873,0.9262,0.91214,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0010976914778856334, 'model__dropout': 0.3123655548285058, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,316adcc3a2742e9f547e263ab8d5c8dd,92d31aabb5e8fb5139cd2c6407488573,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB-auto
Adult,Hyperband,dynamic,0.9526,0.9072,0.94825,0.84678,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.000735921409281224, 'model__dropout': 0.02348568015782364, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,9053977f3fccbacbd697b8abf93189fc,514aa1dfbcf5815cbd311d475352cdc9,3.0,0.0,34.0,3.7039999999999997,tpr = 50,FB-auto
Adult,RandomSearch,0.5,0.86162,0.8907,0.87436,0.90269,lightgbm.LGBMClassifier,"{'max_depth': 60, 'num_leaves': 55, 'n_estimators': 1968, 'boosting_type': 'goss', 'learning_rate': 0.45854432586904414, 'min_child_samples': 22}",,1eccf1f37e28dfa263412b543a6e9809,3f61516dab8267198912a662455b5837,,,,100.0,tpr = 50,FairRS
Adult,RandomSearch,0.5,0.7430100000000001,0.93973,0.74535,0.94734,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.002302008999016712, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 139}",,837a710dc7e67938628946c7f92564a4,5793bb1d7105101e6e578586940f1c0a,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,dynamic,0.9223899999999999,0.98196,0.92001,0.92422,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0005898818666244532, 'model__dropout': 0.08306138698479613, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [50, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,73bdb1a508f513870dc41c6d75d93186,d20a2432e4320670d4f8335d519c3d9a,4.0,0.0,81.0,1.235,tpr = 50,FB-auto
Adult,Hyperband,1,0.99477,0.54618,0.99351,0.5505,lightgbm.LGBMClassifier,"{'max_depth': 118, 'num_leaves': 9, 'n_estimators': 4949, 'boosting_type': 'dart', 'learning_rate': 0.011169273727919796, 'min_child_samples': 9}",,69f1df5cc3fa5ccd5c1e2cb58f3fe050,812e0b14c4c6ce9b5acc055733a8c76c,0.0,0.0,5.0,100.0,tpr = 50,HB
Adult,RandomSearch,1,0.99477,0.53474,0.99121,0.53251,lightgbm.LGBMClassifier,"{'max_depth': 42, 'num_leaves': 45, 'n_estimators': 205, 'boosting_type': 'dart', 'learning_rate': 0.06578380479085372, 'min_child_samples': 65}",,6d7352a0a94f95c795c369ce7b45b492,6f18dcbd1836061d89eb784b5fc7cf2e,,,,100.0,tpr = 50,RS
Adult,RandomSearch,0.5,0.9701700000000001,0.8294299999999999,0.9684299999999999,0.78071,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0007107067174292267, 'model__dropout': 0.2348561347330981, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,0c86cad20421d028f6f995571c337d5f,d38e05a8b1bc7dfcfb7b992d83bfeaee,,,,100.0,tpr = 50,FairRS
Adult,RandomSearch,0.5,0.9656299999999999,0.78438,0.9686299999999999,0.75883,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 12, 'min_samples_split': 18}",,1a98f143bd238b38a06505592cf3f087,0ad4ededd9588f684cf505d669061867,,,,100.0,tpr = 50,FairRS
Adult,Hyperband,0.5,0.94532,0.8951600000000001,0.93929,0.84072,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005911909704811553, 'model__dropout': 0.39846732474235447, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,5453ade4a434550eb478e1818c1691e9,954341a5cbcdfb3c8b103d255165cddf,2.0,0.0,15.0,11.110999999999999,tpr = 50,FB
Adult,Hyperband,0.5,0.95334,0.9271799999999999,0.9500200000000001,0.8731399999999999,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0005042302281410074, 'model__dropout': 0.14757088670240096, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,1b5b682adb2a1d7aac1f455c30a0a67f,6d087a1be68b712c83b0189cef595b4a,4.0,1.0,27.0,3.7039999999999997,tpr = 50,FB
Adult,RandomSearch,0.5,0.98408,0.68192,0.98365,0.65951,lightgbm.LGBMClassifier,"{'max_depth': 7, 'num_leaves': 65, 'n_estimators': 709, 'boosting_type': 'gbdt', 'learning_rate': 0.36421751591886853, 'min_child_samples': 24}",,49714e3e27d8aecc3830d85caabab599,4f5613b6669c358b5c20ceb2c8eb8723,,,,100.0,tpr = 50,FairRS
Adult,RandomSearch,1,0.99477,0.5847100000000001,0.9920200000000001,0.58954,lightgbm.LGBMClassifier,"{'max_depth': 14, 'num_leaves': 259, 'n_estimators': 697, 'boosting_type': 'gbdt', 'learning_rate': 0.020173592805889606, 'min_child_samples': 100}",,0c008239a3c80bd9564835a686d6bf35,edf648711a4294ca213ad8527f278eb4,,,,100.0,tpr = 50,RS
Adult,Hyperband,1,0.9935700000000001,0.52867,0.99021,0.53488,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 621, 'min_samples_leaf': 1, 'min_samples_split': 12}",,ee137107788d88a068cc1cae6aa40a5b,3ce5e78a44941fcf09e209be3ae7b624,0.0,0.0,5.0,100.0,tpr = 50,HB
Adult,Hyperband,0.5,0.93778,0.9836299999999999,0.9330200000000001,0.95014,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0007506320901012364, 'model__dropout': 0.09698195388407567, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,c89d05d4b1cef98768b838d914f20d25,2d48c960df962b7f1d89efa3d3faced1,4.0,0.0,81.0,1.235,tpr = 50,FB
AOF,Hyperband,dynamic,0.6622,0.5978100000000001,0.6838,0.6279,lightgbm.LGBMClassifier,"{'max_depth': 14, 'num_leaves': 46, 'n_estimators': 2073, 'boosting_type': 'goss', 'learning_rate': 0.014202611334706648, 'min_child_samples': 111}",9.0,ab1b244214880e6110609a9a88b86c2c,f84289218cc9fcb4c62bf1230d67eff0,0.0,0.0,5.0,100.0,fpr = 5,FB-auto
AOF,RandomSearch,0.5,0.37936,0.91058,0.39846,0.95557,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 21, 'min_samples_leaf': 3, 'min_samples_split': 76}",4.0,f64c6aa08776e8e69a17609b50c725c1,f010b1cad3bf866f467d607e06866209,,,,100.0,fpr = 5,FairRS
AOF,RandomSearch,0.5,0.56434,0.81192,0.60797,0.90669,lightgbm.LGBMClassifier,"{'max_depth': 51, 'num_leaves': 20, 'n_estimators': 811, 'boosting_type': 'goss', 'learning_rate': 0.9373192393529987, 'min_child_samples': 107}",9.0,96fc8a04f009cdc80634689faf0eca9e,a717d1d5450ba076388d58919158339b,,,,100.0,fpr = 5,FairRS
AOF,RandomSearch,1,0.6823100000000001,0.33050999999999997,0.67352,0.34941,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 25, 'max_features': 'log2', 'n_estimators': 103, 'min_samples_leaf': 1, 'min_samples_split': 9}",9.0,00baf5a625e374ccb8afcc12c7f7da6d,3de28c7fc301774b6983d7bcac79bf97,,,,100.0,fpr = 5,RS
AOF,RandomSearch,0.5,0.67962,0.54071,0.68895,0.58468,lightgbm.LGBMClassifier,"{'max_depth': 87, 'num_leaves': 94, 'n_estimators': 591, 'boosting_type': 'gbdt', 'learning_rate': 0.21702481978618882, 'min_child_samples': 6}",9.0,ea7cfa73fadf6007062b392a62076e50,9bff538da6af308b2711be544e029015,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,1,0.6916899999999999,0.28098,0.69023,0.31234,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 25, 'max_features': 'log2', 'n_estimators': 445, 'min_samples_leaf': 1, 'min_samples_split': 62}",19.0,a2ba1b97f9c414cd66fd2970bd68a68c,50d2827700eb379863a4b289ee55ba5e,2.0,2.0,1.0,100.0,fpr = 5,HB
AOF,RandomSearch,1,0.6715800000000001,0.29059,0.67224,0.31817,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 27, 'max_features': 'sqrt', 'n_estimators': 117, 'min_samples_leaf': 4, 'min_samples_split': 70}",19.0,6371f342ab3259309f5ecc227edbeb64,0bd3d7aa8783e10ead33eaef273082eb,,,,100.0,fpr = 5,RS
AOF,Hyperband,0.5,0.45442,0.88889,0.48328999999999994,0.74568,lightgbm.LGBMClassifier,"{'max_depth': 3, 'num_leaves': 27, 'n_estimators': 66, 'boosting_type': 'goss', 'learning_rate': 0.7950198600115346, 'min_child_samples': 14}",9.0,e48e1e14d81162b238bc926643b4f6ff,1f7129aa724f38c6a9bc055a1e492ce3,1.0,0.0,8.0,33.333,fpr = 5,FB
AOF,Hyperband,1,0.69973,0.31909,0.68638,0.34386,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'max_features': 'sqrt', 'n_estimators': 443, 'min_samples_leaf': 2, 'min_samples_split': 16}",19.0,d1b183e14856f3d880ae785473c9e42f,618c57ad7c9bffd1613993752c65f4f0,4.0,4.0,1.0,100.0,fpr = 5,HB
AOF,RandomSearch,0.5,0.64075,0.5932,0.67609,0.62346,lightgbm.LGBMClassifier,"{'max_depth': 105, 'num_leaves': 74, 'n_estimators': 1507, 'boosting_type': 'goss', 'learning_rate': 0.030808182821801366, 'min_child_samples': 39}",19.0,caaecd0e5b6df75e8711a3302edc3d75,e49f028deec72b2909ed5c9d29feeee0,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,dynamic,0.65282,0.60987,0.66967,0.66032,lightgbm.LGBMClassifier,"{'max_depth': 78, 'num_leaves': 322, 'n_estimators': 4143, 'boosting_type': 'goss', 'learning_rate': 0.2501747624238789, 'min_child_samples': 9}",19.0,44fc389dff393905eab4913f436678ee,85e2050848c68e535d8612c48b4dca5a,4.0,4.0,1.0,100.0,fpr = 5,FB-auto
AOF,Hyperband,0.5,0.56971,0.7813899999999999,0.60925,0.8880600000000001,lightgbm.LGBMClassifier,"{'max_depth': 4, 'num_leaves': 163, 'n_estimators': 6484, 'boosting_type': 'goss', 'learning_rate': 0.24632057973660118, 'min_child_samples': 56}",19.0,be507075cca2ec5d7008b3793f4d21eb,57c66d694c61461768a490be9983ec62,2.0,2.0,1.0,100.0,fpr = 5,FB
AOF,RandomSearch,0.5,0.67828,0.48663,0.7108,0.52078,lightgbm.LGBMClassifier,"{'max_depth': 70, 'num_leaves': 157, 'n_estimators': 782, 'boosting_type': 'goss', 'learning_rate': 0.012686556107201217, 'min_child_samples': 7}",9.0,e88a72ff8d0adaf699a5de6a20687531,08ce740ba918bd2dad5afa5c073efc4a,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,0.5,0.6260100000000001,0.5895100000000001,0.6401,0.68421,lightgbm.LGBMClassifier,"{'max_depth': 7, 'num_leaves': 12, 'n_estimators': 3819, 'boosting_type': 'gbdt', 'learning_rate': 0.1026598781255912, 'min_child_samples': 5}",4.0,66ed3c5b119cbf89fe43edc857eb30cf,f86908e00fbf99e7f07002bf0d797530,1.0,1.0,2.0,100.0,fpr = 5,FB
AOF,Hyperband,dynamic,0.56971,0.77203,0.5886899999999999,0.92235,lightgbm.LGBMClassifier,"{'max_depth': 35, 'num_leaves': 7, 'n_estimators': 1534, 'boosting_type': 'goss', 'learning_rate': 0.4533619006919004, 'min_child_samples': 28}",19.0,285a39647c2e27545a83658498db3e56,2a21bbba0d98a7390ab23e0d802a9a9d,3.0,2.0,3.0,33.333,fpr = 5,FB-auto
AOF,RandomSearch,0.5,0.6126,0.65432,0.64781,0.76893,lightgbm.LGBMClassifier,"{'max_depth': 24, 'num_leaves': 9, 'n_estimators': 1095, 'boosting_type': 'dart', 'learning_rate': 0.3563967803679837, 'min_child_samples': 167}",4.0,1516ab18b9e6e3ca6c357bc5b0c9901f,12772df449480212de11286f1bf79156,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,dynamic,0.64879,0.6390399999999999,0.6632399999999999,0.7511,lightgbm.LGBMClassifier,"{'max_depth': 50, 'num_leaves': 115, 'n_estimators': 2927, 'boosting_type': 'dart', 'learning_rate': 0.5123702912513137, 'min_child_samples': 12}",9.0,dbe77ca573f9e6adaa168fc15f1f0bc3,5febac2bfe3b1dcf6d57ca03ca645790,3.0,3.0,1.0,100.0,fpr = 5,FB-auto
AOF,RandomSearch,1,0.67694,0.51341,0.69923,0.56394,lightgbm.LGBMClassifier,"{'max_depth': 85, 'num_leaves': 121, 'n_estimators': 1051, 'boosting_type': 'goss', 'learning_rate': 0.011471139512205528, 'min_child_samples': 17}",9.0,1a8851e4759961b3c64b48e951c2743d,eab5fe5e8215bac6d272aa6c05b8d886,,,,100.0,fpr = 5,RS
AOF,Hyperband,dynamic,0.64477,0.5831,0.67224,0.636,lightgbm.LGBMClassifier,"{'max_depth': 24, 'num_leaves': 272, 'n_estimators': 4092, 'boosting_type': 'dart', 'learning_rate': 0.2921389725225255, 'min_child_samples': 8}",4.0,7487f742a4fd9af21cbe64e16ef44642,ebd7df4eaff59df73d6987f0cc0bfadc,4.0,4.0,1.0,100.0,fpr = 5,FB-auto
AOF,Hyperband,1,0.6916899999999999,0.30777,0.69409,0.33569,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 21, 'max_features': 'sqrt', 'n_estimators': 297, 'min_samples_leaf': 1, 'min_samples_split': 29}",19.0,f0bf91b52bcb65d23ca5f03e656a8e02,673c4ab5ba0b2a1d6add2539858b81c8,3.0,3.0,1.0,100.0,fpr = 5,HB
AOF,Hyperband,0.5,0.57239,0.6362,0.59512,0.74446,lightgbm.LGBMClassifier,"{'max_depth': 3, 'num_leaves': 98, 'n_estimators': 1686, 'boosting_type': 'goss', 'learning_rate': 0.10790523766432873, 'min_child_samples': 68}",19.0,97920c1d9c4fd48b4e5bb4c9d3c3a967,5197d73f52fe6ff8cef9ce985e2d657b,3.0,2.0,3.0,33.333,fpr = 5,FB
AOF,RandomSearch,0.5,0.49463999999999997,0.73414,0.47815,0.69045,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 43, 'min_samples_leaf': 38, 'min_samples_split': 29}",9.0,0566b1d7f1c04a7f7011e35b45566d3a,aedb28ca36de3a6575bde9f2e296a659,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,0.5,0.23056,0.99761,0.2892,0.98521,sklearn.linear_model.LogisticRegression,"{'C': 1, 'tol': 0.009452689991849065, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 783}",19.0,0a5acff225230c872281063a1a45204b,a598d23963ac305ff7d4497e004e4568,4.0,0.0,81.0,1.235,fpr = 5,FB
AOF,Hyperband,0.5,0.41421,0.92306,0.44343999999999995,0.9817100000000001,lightgbm.LGBMClassifier,"{'max_depth': 94, 'num_leaves': 3, 'n_estimators': 1431, 'boosting_type': 'gbdt', 'learning_rate': 0.11538719329026904, 'min_child_samples': 10}",4.0,e360247061d6ca04a89df6169f73b267,2d6ee2332ee7bea62d1267fd8c8cf69c,4.0,1.0,27.0,3.7039999999999997,fpr = 5,FB
AOF,RandomSearch,1,0.6689,0.23965999999999998,0.67095,0.26674000000000003,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 16, 'max_features': 'log2', 'n_estimators': 145, 'min_samples_leaf': 5, 'min_samples_split': 42}",4.0,009e3b470617ca091453395d176e0b10,e29d2b32096d5983b75d5cbd9d4530df,,,,100.0,fpr = 5,RS
AOF,Hyperband,dynamic,0.65147,0.5886,0.6349600000000001,0.64213,lightgbm.LGBMClassifier,"{'max_depth': 46, 'num_leaves': 62, 'n_estimators': 2427, 'boosting_type': 'dart', 'learning_rate': 0.14354011699249863, 'min_child_samples': 35}",9.0,9018c5c7fc3c66e85db3b4f6c19e2bc6,b7a05a56070f4dd7b0f5d79becf860b7,2.0,1.0,5.0,33.333,fpr = 5,FB-auto
AOF,RandomSearch,0.5,0.62735,0.61922,0.66452,0.70691,lightgbm.LGBMClassifier,"{'max_depth': 43, 'num_leaves': 13, 'n_estimators': 1714, 'boosting_type': 'goss', 'learning_rate': 0.08928666857503097, 'min_child_samples': 8}",19.0,9b52560d650b413b676b06c0ba008e4b,654215af4faed25a66a24543380be900,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,dynamic,0.67292,0.564,0.68509,0.6267199999999999,lightgbm.LGBMClassifier,"{'max_depth': 79, 'num_leaves': 71, 'n_estimators': 690, 'boosting_type': 'gbdt', 'learning_rate': 0.1613750087752184, 'min_child_samples': 39}",9.0,4ff5176146b4dbbd4a71333373be33bd,3b6117559a4911d3f512386c2e200f16,4.0,4.0,1.0,100.0,fpr = 5,FB-auto
AOF,RandomSearch,1,0.68633,0.5221600000000001,0.70308,0.5706600000000001,lightgbm.LGBMClassifier,"{'max_depth': 42, 'num_leaves': 251, 'n_estimators': 3290, 'boosting_type': 'gbdt', 'learning_rate': 0.034368413249755786, 'min_child_samples': 12}",9.0,2e1b6104bb7726856be186c6e44540da,325d3556481c1b5e80693b69aa3431a2,,,,100.0,fpr = 5,RS
AOF,RandomSearch,1,0.67024,0.24036999999999997,0.65296,0.25856999999999997,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'n_estimators': 259, 'min_samples_leaf': 45, 'min_samples_split': 131}",19.0,0a2eaf696e21ca53ef235bda39f97986,71e525a98471a8ae55403219e1493db6,,,,100.0,fpr = 5,RS
AOF,Hyperband,0.5,0.55362,0.7270800000000001,0.56684,0.84296,lightgbm.LGBMClassifier,"{'max_depth': 2, 'num_leaves': 66, 'n_estimators': 13258, 'boosting_type': 'gbdt', 'learning_rate': 0.05711374362756748, 'min_child_samples': 18}",4.0,3e0ad0ebf5c7c8265238dd15438467c9,224e86cbe177a80d5f26afe65bea5a61,1.0,1.0,2.0,100.0,fpr = 5,FB
AOF,Hyperband,1,0.6756,0.27657,0.67481,0.30449,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 'sqrt', 'n_estimators': 559, 'min_samples_leaf': 16, 'min_samples_split': 13}",19.0,29cf52bcacde4ca4cb3a1f862a908a5d,0cef386cd2f11de070d1add52c799560,3.0,3.0,1.0,100.0,fpr = 5,HB
AOF,Hyperband,dynamic,0.65013,0.6220399999999999,0.66067,0.78962,lightgbm.LGBMClassifier,"{'max_depth': 95, 'num_leaves': 50, 'n_estimators': 2782, 'boosting_type': 'gbdt', 'learning_rate': 0.13719087694369383, 'min_child_samples': 92}",19.0,8a20b8136dadc007c7c9d76c40efc313,6cfbfdb5461bc33aabdd564470640f7a,3.0,3.0,1.0,100.0,fpr = 5,FB-auto
AOF,RandomSearch,0.5,0.65013,0.64571,0.6838,0.69509,lightgbm.LGBMClassifier,"{'max_depth': 39, 'num_leaves': 55, 'n_estimators': 3260, 'boosting_type': 'goss', 'learning_rate': 0.012690683593182504, 'min_child_samples': 206}",9.0,d73e45f7ad17a0b2647f15f74d61cee0,7e3bfcdc009db2f8637bdc7cca1d3d0d,,,,100.0,fpr = 5,FairRS
AOF,RandomSearch,0.5,0.6434300000000001,0.6419,0.6671,0.71833,lightgbm.LGBMClassifier,"{'max_depth': 41, 'num_leaves': 128, 'n_estimators': 3178, 'boosting_type': 'goss', 'learning_rate': 0.34586717743168527, 'min_child_samples': 96}",19.0,8ea4536bc5e8c4b3cca332104a05b3a2,e99be43146568a1f814fb57d726ded29,,,,100.0,fpr = 5,FairRS
AOF,Hyperband,dynamic,0.56166,0.7908,0.56298,0.85493,lightgbm.LGBMClassifier,"{'max_depth': 40, 'num_leaves': 6, 'n_estimators': 3970, 'boosting_type': 'goss', 'learning_rate': 0.5284244222478869, 'min_child_samples': 31}",9.0,0f7d3168f42c45bdec50dba86efaf4fe,703387797da327b0f97517f5304570e7,4.0,3.0,3.0,33.333,fpr = 5,FB-auto
AOF,Hyperband,1,0.67828,0.3428,0.67481,0.36874,lightgbm.LGBMClassifier,"{'max_depth': 4, 'num_leaves': 203, 'n_estimators': 1728, 'boosting_type': 'dart', 'learning_rate': 0.020488497177499676, 'min_child_samples': 9}",4.0,aa37026bd624c3e48c89a0253d8ee20c,4c1f584e81753020cc2dd447e69a401f,3.0,3.0,1.0,100.0,fpr = 5,HB
AOF,Hyperband,1,0.67694,0.32288,0.68123,0.34497,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 26, 'max_features': 'sqrt', 'n_estimators': 126, 'min_samples_leaf': 3, 'min_samples_split': 4}",19.0,4be460137d4da4413fc8176288c030d9,85156e0af10daf520d25129ae5901026,4.0,4.0,1.0,100.0,fpr = 5,HB
AOF,Hyperband,1,0.66354,0.25761999999999996,0.66067,0.30489,lightgbm.LGBMClassifier,"{'max_depth': 2, 'num_leaves': 9, 'n_estimators': 136, 'boosting_type': 'goss', 'learning_rate': 0.05950126457563735, 'min_child_samples': 7}",19.0,4133b30f6b891819e5af6b1fe486b499,ef54cfb8b2410138b0d75be15f5fd3ff,3.0,2.0,3.0,33.333,fpr = 5,HB
AOF,Hyperband,1,0.68901,0.29953,0.6953699999999999,0.31463,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 170, 'min_samples_leaf': 2, 'min_samples_split': 25}",19.0,cd6f5b5711967143036794e93d267eda,f850b4fe7b52cab714018715a4550b4f,2.0,2.0,1.0,100.0,fpr = 5,HB
AOF,RandomSearch,0.5,0.6622,0.47555,0.68895,0.49445,lightgbm.LGBMClassifier,"{'max_depth': 82, 'num_leaves': 195, 'n_estimators': 10598, 'boosting_type': 'gbdt', 'learning_rate': 0.24979175240119852, 'min_child_samples': 6}",4.0,faa3f3df1b54634f1bb5b93d90e47fcc,f335f9d5e2c8a87da87308dca6f4b267,,,,100.0,fpr = 5,FairRS
AOF,RandomSearch,0.5,0.61662,0.53362,0.6491,0.58185,lightgbm.LGBMClassifier,"{'max_depth': 67, 'num_leaves': 268, 'n_estimators': 5115, 'boosting_type': 'gbdt', 'learning_rate': 0.9395955173489507, 'min_child_samples': 18}",4.0,256d2558e8b65f39f136f3dcfd6b4bea,bf0d26954e11f4d62944cf87a25162df,,,,100.0,fpr = 5,FairRS
