index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_poverty_level_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
22,91b249c337937dc48b614bfd6625c807,65eacb652a2f014e2372be92c212aae8,0.72043,720b9b51a9440a9d2d49bfba2e68a0c9,80a02a5ac35623f76e06c6c04edbc929,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 23, 'min_samples_leaf': 48, 'min_samples_split': 30}",,RandomSearch,,,,100.0,0.453,0.98786,{'alpha': 0.5},validation,pp = 1000,0.453,0.98786,0.5,,RS (alpha=0.5),0.508,0.71287,Donors Choose,precision,poverty_level_min_tpr_disparity
130,91b249c337937dc48b614bfd6625c807,678e03328561b424d712b6ad16430557,0.76881,bcddfdae4f3179a82af6dcf0f8d2820b,7254b4b2c387df48b20ea80ccf81583d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0010161747948383964, 'model__dropout': 0.22063107291079576, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.549,0.98862,{'alpha': 0.5},validation,pp = 1000,0.549,0.98862,0.5,0.037,FB (alpha=0.5),0.492,0.88899,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,687b66857b879d2c5d33f9e03a260c00,0.598,e9bcc48feee07739b66881ff98534d85,63d0f86a5f9059892f24f34370aae0ea,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 27, 'max_features': 'sqrt', 'n_estimators': 88, 'min_samples_leaf': 3, 'min_samples_split': 20}",,RandomSearch,,,,100.0,0.598,0.30898,{'alpha': 1},validation,pp = 1000,0.598,0.30898,1,,RS,0.529,0.40179,Donors Choose,precision,poverty_level_min_tpr_disparity
3,91b249c337937dc48b614bfd6625c807,6adde7b9449fb368eed14bc063ca572a,0.601,7e6f479193fe461fec786b96b59832bb,dde6da07112b7309dd0d72b3ed035602,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 11, 'max_features': 'log2', 'n_estimators': 201, 'min_samples_leaf': 10, 'min_samples_split': 6}",,RandomSearch,,,,100.0,0.601,0.25794,{'alpha': 1},validation,pp = 1000,0.601,0.25794,1,,RS,0.531,0.2887,Donors Choose,precision,poverty_level_min_tpr_disparity
200,91b249c337937dc48b614bfd6625c807,73c651a09806f412b69a2cf5a9da8577,0.608,072065e2e9612e37460f480e8648c3bf,9fd9d6901aa4eb594c8955da7ec83b91,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 198, 'min_samples_leaf': 2, 'min_samples_split': 15}",,Hyperband,1.0,1.0,2.0,100.0,0.608,0.36957,{'alpha': 1},validation,pp = 1000,0.608,0.36957,1,1.0,HB,0.537,0.38976,Donors Choose,precision,poverty_level_min_tpr_disparity
191,91b249c337937dc48b614bfd6625c807,74a2aa2687b995244f5b4b46c162fcce,0.76726,9ee8ff2fbe409f950abc579e00520000,565201e84e843d63fae924a5aebdd656,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.002323314171750154, 'model__dropout': 0.017743047242975908, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,2.0,2.0,1.0,100.0,0.553,0.98152,{'alpha': 0.5},validation,pp = 1000,0.553,0.98152,0.5,1.0,FB (alpha=0.5),0.522,0.81856,Donors Choose,precision,poverty_level_min_tpr_disparity
2,91b249c337937dc48b614bfd6625c807,7cc96340ec23800ea22b9a9cca27bf66,0.76389,8c11b62576520951946dc393503b7ebb,ddde45e21a58c379f28d96ba44c54664,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.000929916162767537, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 570}",,RandomSearch,,,,100.0,0.528,0.99978,{'alpha': 0.5},validation,pp = 1000,0.528,0.99978,0.5,,RS (alpha=0.5),0.508,0.77197,Donors Choose,precision,poverty_level_min_tpr_disparity
148,91b249c337937dc48b614bfd6625c807,82b1bd71d3ca2cccb396c5ad9b6e79d1,0.77139,570bfdb6f5b4e3eef3f8d7df8c21ceee,46a40ed14c26e4b3dbbf7f71629a806c,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.003955047445060038, 'model__dropout': 0.07481613320751856, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.553,0.98977,{'alpha': 0.5},validation,pp = 1000,0.553,0.98977,0.5,0.037,FB (alpha=0.5),0.491,0.95268,Donors Choose,precision,poverty_level_min_tpr_disparity
144,91b249c337937dc48b614bfd6625c807,8a71686c612b41378ce9e2da57510cd7,0.76115,2f62a188f12ad5a692391b79bba5823f,c4b2b5e0ebbb7d2ed82d81c86d5e81cc,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0018025654146960753, 'model__dropout': 0.29616773114665, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,0.0,34.0,3.704,0.541,0.98129,{'alpha': 0.5},validation,pp = 1000,0.541,0.98129,0.5,0.037,FB (alpha=0.5),0.495,0.90732,Donors Choose,precision,poverty_level_min_tpr_disparity
11,91b249c337937dc48b614bfd6625c807,8bf5d9a623abdf22fde2410de6e60e29,0.72782,362dd40dfdd4d0afa994003755afdaed,4c9912440a46b0c323500260206ba531,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 0.0029681316086300896, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 689}",,RandomSearch,,,,100.0,0.499,0.95665,{'alpha': 0.5},validation,pp = 1000,0.499,0.95665,0.5,,RS (alpha=0.5),0.489,0.88519,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,942e5a1c9bb32d8f78a510b73f37ef43,0.75612,cb53f97e17cdf15b9117bc57dd7bc44f,fb254017a6374b686c7b478b5710de1a,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.002569394811455987, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 248}",,RandomSearch,,,,100.0,0.52,0.99223,{'alpha': 0.5},validation,pp = 1000,0.52,0.99223,0.5,,RS (alpha=0.5),0.506,0.79008,Donors Choose,precision,poverty_level_min_tpr_disparity
133,91b249c337937dc48b614bfd6625c807,963159f1fc2a3d8af3a42f558077bb04,0.65454,f3edb10d2d8bc1eb64e209b2423f9767,93a036189926b7adc3710ac802f8a0e7,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000942992761087128, 'model__dropout': 0.012889004836199813, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.53,0.99975,{'alpha': 'dynamic'},validation,pp = 1000,0.53,0.99975,dynamic,0.037,FB,0.5,0.85455,Donors Choose,precision,poverty_level_min_tpr_disparity
170,91b249c337937dc48b614bfd6625c807,97d754b9169b653bdc28226ad04ca6a2,0.66803,781ce72d5bf9ec0f00c6c96ebd651972,1c96a68b68327fb7830abcab7e5b9dac,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0030784459744503424, 'model__dropout': 0.04184259960995003, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,3.0,1.0,100.0,0.545,0.98227,{'alpha': 'dynamic'},validation,pp = 1000,0.545,0.98227,dynamic,1.0,FB,0.519,0.82755,Donors Choose,precision,poverty_level_min_tpr_disparity
