index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_sex_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
97,2dd35f877805972a5bef858efd2bfb0d,30d3b84c5aa5d9af30905925fb4a5b6a,0.94359,a6e02158af3a98ad8690acf1f3e768ba,d66dcfe38a78ed185116e19c2977f2d7,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0016061325622394962, 'model__dropout': 0.11487249821540405, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.93957,0.94768,{'alpha': 'dynamic'},validation,tpr = 50,0.93957,0.94768,dynamic,0.037,FB,0.93246,0.89975,Adult,precision,sex_min_tpr_disparity
201,2dd35f877805972a5bef858efd2bfb0d,33c49052bb0d11b8dcd38f5e2d26c8d9,0.99477,c06d7b56e9cbf40084d79d67c719d3b5,6a30488885d41b08d71b91bc007cd61e,lightgbm.LGBMClassifier,"{'max_depth': 30, 'num_leaves': 5, 'n_estimators': 2221, 'boosting_type': 'goss', 'learning_rate': 0.046551625519031206, 'min_child_samples': 41}",,Hyperband,1.0,1.0,2.0,100.0,0.99477,0.54618,{'alpha': 1},validation,tpr = 50,0.99477,0.54618,1,1.0,HB,0.99155,0.56072,Adult,precision,sex_min_tpr_disparity
79,2dd35f877805972a5bef858efd2bfb0d,36a12c1b479bfcdf3d24f29305682369,0.92614,bf060e2eff31f20497a3253672295a78,42d1fcdb8d0650100891726a828ab35b,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.000614612758675676, 'model__dropout': 0.3552414367070764, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,0.0,81.0,1.235,0.89695,0.9592,{'alpha': 'dynamic'},validation,tpr = 50,0.89695,0.9592,dynamic,0.0123,FB,0.8964,0.9907,Adult,precision,sex_min_tpr_disparity
200,2dd35f877805972a5bef858efd2bfb0d,3986200aa3dd03135f920f7b08577703,0.99477,2fd239a83ac5fcf18afbecf3b4743f16,8ff90d0ba6f409da5e18b2b86d3805ad,lightgbm.LGBMClassifier,"{'max_depth': 325, 'num_leaves': 20, 'n_estimators': 388, 'boosting_type': 'gbdt', 'learning_rate': 0.024431794219485867, 'min_child_samples': 7}",,Hyperband,1.0,1.0,2.0,100.0,0.99477,0.53387,{'alpha': 1},validation,tpr = 50,0.99477,0.53387,1,1.0,HB,0.99291,0.54309,Adult,precision,sex_min_tpr_disparity
136,2dd35f877805972a5bef858efd2bfb0d,3a55b32929d9af6736730508c6521ab0,0.95478,646b3688c8424da23ac4fd0435921331,90d4553ffeb43cf15a67078158a17f8a,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005948294856366537, 'model__dropout': 0.0777316333787105, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,0.0,34.0,3.704,0.93424,0.97532,{'alpha': 0.5},validation,tpr = 50,0.93424,0.97532,0.5,0.037,FB (alpha=0.5),0.92576,0.93627,Adult,precision,sex_min_tpr_disparity
70,2dd35f877805972a5bef858efd2bfb0d,409aa24eb9129c9431ccdbd836a287ee,0.92332,5c05628b79892cf3d0a08ee497973e51,dfd69201b2209b7e388a7c3f646b4954,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.001082254049305727, 'model__dropout': 0.24538632687964013, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,4.0,0.0,81.0,1.235,0.95297,0.89367,{'alpha': 0.5},validation,tpr = 50,0.95297,0.89367,0.5,0.0123,FB (alpha=0.5),0.95007,0.83815,Adult,precision,sex_min_tpr_disparity
206,2dd35f877805972a5bef858efd2bfb0d,41cf90290b6d963efa8eb7ed165042c2,0.99397,9d224278106f6d2ccee58ca159e90a7c,c2254c63331e4fd8d9fafde97a7fc420,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 16, 'max_features': 'sqrt', 'n_estimators': 66, 'min_samples_leaf': 2, 'min_samples_split': 45}",,Hyperband,0.0,0.0,5.0,100.0,0.99397,0.53824,{'alpha': 1},validation,tpr = 50,0.99397,0.53824,1,1.0,HB,0.98949,0.536,Adult,precision,sex_min_tpr_disparity
22,2dd35f877805972a5bef858efd2bfb0d,44dedd5b7aca4beaf71732e32903109a,0.99277,bdd67861f5ab897be0aaa6fdcf33aa5b,cc9d9b63e244a76a116ee07ea5aab795,lightgbm.LGBMClassifier,"{'max_depth': 41, 'num_leaves': 168, 'n_estimators': 1323, 'boosting_type': 'gbdt', 'learning_rate': 0.011351180408269546, 'min_child_samples': 63}",,RandomSearch,,,,100.0,0.99277,0.6178,{'alpha': 1},validation,tpr = 50,0.99277,0.6178,1,,RS,0.99019,0.62778,Adult,precision,sex_min_tpr_disparity
19,2dd35f877805972a5bef858efd2bfb0d,458aee0767c80cb0b875acc78d2e2080,0.99317,7c660411c241522488472b118c9c8406,76796e3ccf2cc23c976b49301c5f8ab1,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 224, 'min_samples_leaf': 3, 'min_samples_split': 89}",,RandomSearch,,,,100.0,0.99317,0.54175,{'alpha': 1},validation,tpr = 50,0.99317,0.54175,1,,RS,0.99011,0.55174,Adult,precision,sex_min_tpr_disparity
119,2dd35f877805972a5bef858efd2bfb0d,45adfdf135415a47722847e6bf475df3,0.99317,a2ddc491d3445699bd50acd0ed7b4c89,bd660edfdc491ed0a723c569943a2189,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 31, 'max_features': 'sqrt', 'n_estimators': 397, 'min_samples_leaf': 10, 'min_samples_split': 22}",,Hyperband,4.0,3.0,3.0,33.333,0.99317,0.52695,{'alpha': 1},validation,tpr = 50,0.99317,0.52695,1,0.3333,HB,0.98979,0.53178,Adult,precision,sex_min_tpr_disparity
10,2dd35f877805972a5bef858efd2bfb0d,4971922a7a744bfec621371e3569aad4,0.8923,7e64c61c32425bc2db6120bc3bd146d2,406758a790fc94e10547f1c6232b190c,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0025329426289173044, 'model__dropout': 0.35802734493093746, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.95925,0.82534,{'alpha': 0.5},validation,tpr = 50,0.95925,0.82534,0.5,,RS (alpha=0.5),0.95646,0.78425,Adult,precision,sex_min_tpr_disparity
18,2dd35f877805972a5bef858efd2bfb0d,545345448c8426d6dc941fecd4f49707,0.99277,a41c96ad8c00868248246905f55a25c2,a11389029a65df530f2d14715da6cc84,lightgbm.LGBMClassifier,"{'max_depth': 14, 'num_leaves': 6, 'n_estimators': 1226, 'boosting_type': 'goss', 'learning_rate': 0.0313414463576603, 'min_child_samples': 85}",,RandomSearch,,,,100.0,0.99277,0.52781,{'alpha': 1},validation,tpr = 50,0.99277,0.52781,1,,RS,0.99154,0.53285,Adult,precision,sex_min_tpr_disparity
83,2dd35f877805972a5bef858efd2bfb0d,57b9c48d9588eb864453c7a478464e31,0.93842,4b848fc815f53dcc1b737a3776b1e337,2383b4c887b0da66a12a3a3973dafb28,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0007219904680681159, 'model__dropout': 0.07582736891160034, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.92273,0.9541,{'alpha': 0.5},validation,tpr = 50,0.92273,0.9541,0.5,0.037,FB (alpha=0.5),0.91704,0.88785,Adult,precision,sex_min_tpr_disparity
20,2dd35f877805972a5bef858efd2bfb0d,5885e611b6448bc36ddf1d67538cf793,0.99357,269e892747ed5a94dc9352c9c1a0f95f,e5a21595f713dfbd7d55f02d104193ae,lightgbm.LGBMClassifier,"{'max_depth': 118, 'num_leaves': 34, 'n_estimators': 648, 'boosting_type': 'dart', 'learning_rate': 0.0689264012987504, 'min_child_samples': 15}",,RandomSearch,,,,100.0,0.99357,0.55513,{'alpha': 1},validation,tpr = 50,0.99357,0.55513,1,,RS,0.99308,0.56604,Adult,precision,sex_min_tpr_disparity
